52.5, 0, 9.2
52.5, 0, 15.6
52.5, 0, 22
52.5, 0, 28.4
52.5, 0, 34.8
52.5, 10, 9.2
52.5, 10, 15.6
52.5, 10, 22
52.5, 10, 28.4
52.5, 10, 34.8
52.5, 20, 9.2
52.5, 20, 15.6
52.5, 20, 22
52.5, 20, 28.4
52.5, 20, 34.8
52.5, 30, 9.2
52.5, 30, 15.6
52.5, 30, 22
52.5, 30, 28.4
52.5, 30, 34.8
52.5, 40, 9.2
52.5, 40, 15.6
52.5, 40, 22
52.5, 40, 28.4
52.5, 40, 34.8
52.5, 50, 9.2
52.5, 50, 15.6
52.5, 50, 22
52.5, 50, 28.4
52.5, 50, 34.8
52.5, 60, 9.2
52.5, 60, 15.6
52.5, 60, 22
52.5, 60, 28.4
52.5, 60, 34.8
52.5, 70, 9.2
52.5, 70, 15.6
52.5, 70, 22
52.5, 70, 28.4
52.5, 70, 34.8
52.5, 80, 9.2
52.5, 80, 15.6
52.5, 80, 22
52.5, 80, 28.4
52.5, 80, 34.8
52.5, 90, 9.2
52.5, 90, 15.6
52.5, 90, 22
52.5, 90, 28.4
52.5, 90, 34.8
52.5, 100, 9.2
52.5, 100, 15.6
52.5, 100, 22
52.5, 100, 28.4
52.5, 100, 34.8
52.5, 110, 9.2
52.5, 110, 15.6
52.5, 110, 22
52.5, 110, 28.4
52.5, 110, 34.8
52.5, 120, 9.2
52.5, 120, 15.6
52.5, 120, 22
52.5, 120, 28.4
52.5, 120, 34.8
52.5, 130, 9.2
52.5, 130, 15.6
52.5, 130, 22
52.5, 130, 28.4
52.5, 130, 34.8
52.5, 140, 9.2
52.5, 140, 15.6
52.5, 140, 22
52.5, 140, 28.4
52.5, 140, 34.8
52.5, 150, 9.2
52.5, 150, 15.6
52.5, 150, 22
52.5, 150, 28.4
52.5, 150, 34.8
52.5, 160, 9.2
52.5, 160, 15.6
52.5, 160, 22
52.5, 160, 28.4
52.5, 160, 34.8
52.5, 170, 9.2
52.5, 170, 15.6
52.5, 170, 22
52.5, 170, 28.4
52.5, 170, 34.8
